Date,Sales
2018-01-01,5692.475592409123
2018-01-02,5265.76004884637
2018-01-03,4950.233875108418
2018-01-04,4820.99320831476
2018-01-05,4011.227665280583
2018-01-06,1412.1991046898984
2018-01-07,4854.915763539678
2018-01-08,5521.759504979182
2018-01-09,5200.204916479164
2018-01-10,4990.778389352399
2018-01-11,4966.628117653654
2018-01-12,4259.046666943339
2018-01-13,1757.4912044318958
2018-01-14,5291.296120173972
2018-01-15,6041.334854130081
2018-01-16,5793.768863661347
2018-01-17,5648.031196252243
2018-01-18,5676.41509367508
2018-01-19,5009.608932219533
2018-01-20,2536.7224173403424
2018-01-21,6086.998764220924
2018-01-22,6841.46985240952
2018-01-23,6586.692626750515
2018-01-24,6422.714698429464
2018-01-25,6422.640197049356
2018-01-26,5718.137917917852
2018-01-27,3199.437515391336
2018-01-28,6697.009372894912
2018-01-29,7393.186077500558
2018-01-30,7075.864723929937
2018-01-31,6846.438941546047
2018-02-01,6779.332583272662
2018-02-02,6007.477969880757
2018-02-03,3422.285164678043
2018-02-04,6855.298553098601
2018-02-05,7489.799163404073
2018-02-06,7114.492327542416
2018-02-07,6831.429803873721
2018-02-08,6715.5383920799795
2018-02-09,5900.0978511762805
2018-02-10,3276.7144083675116
2018-02-11,6676.985786804349
2018-02-12,7284.1157346005075
2018-02-13,6886.6170968164815
2018-02-14,6586.251912776678
2018-02-15,6457.579868865806
2018-02-16,5633.457180913865
2018-02-17,3005.031443526334
2018-02-18,6403.427634793988
2018-02-19,7011.3825536117565
2018-02-20,6616.966081934523
2018-02-21,6321.537180842017
2018-02-22,6199.305470344634
2018-02-23,5382.840093503244
2018-02-24,2763.071146301311
2018-02-25,6170.978729802417
2018-02-26,6789.226896158887
2018-02-27,6405.88100014556
2018-02-28,6122.3566037014625
2018-03-01,6012.971131877941
2018-03-02,5210.440422675888
2018-03-03,2605.8659964465096
2018-03-04,6030.408655484655
2018-03-05,6666.906351967984
2018-03-06,6303.5754706632715
2018-03-07,6041.944327869523
2018-03-08,5956.390711830742
2018-03-09,5179.626192683191
2018-03-10,2602.673526799792
2018-03-11,6056.533236119017
2018-03-12,6723.797602619426
2018-03-13,6392.351469696264
2018-03-14,6163.308758897389
2018-03-15,6110.556515550601
2018-03-16,5366.24907698615
2018-03-17,2820.7984351634327
2018-03-18,6304.556508858801
2018-03-19,6999.447099952634
2018-03-20,6692.686372839073
2018-03-21,6484.740144018253
2018-03-22,6448.889123517489
